City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Rikitea,77,PF,1604262409,86,-23.12,-134.97,74.55,22.3
La Rioja,0,ES,1604262550,87,42.25,-2.5,60.01,7.43
Punta Arenas,75,CL,1604262550,76,-53.15,-70.92,51.8,14.99
Praia da Vitória,75,PT,1604262550,100,38.73,-27.07,64.0,18.21
Cabo San Lucas,43,MX,1604262524,38,22.89,-109.91,90.0,4.0
Mar del Plata,0,AR,1604262550,59,-38.0,-57.56,66.2,10.29
Kaitangata,52,NZ,1604262409,70,-46.28,169.85,51.01,8.01
Albany,100,US,1604262364,85,42.6,-73.97,46.99,1.01
Shakawe,0,BW,1604262551,22,-18.37,21.85,78.58,4.88
Te Anau,100,NZ,1604262551,83,-45.42,167.72,44.67,2.3
Busselton,81,AU,1604262551,82,-33.65,115.33,55.0,5.79
Porto-Novo,73,BJ,1604262551,85,6.5,2.6,80.01,8.01
Souillac,20,MU,1604262551,64,-20.52,57.52,69.8,6.93
Faya,0,SA,1604262429,27,18.39,42.45,62.6,3.36
Shonguy,75,RU,1604262551,93,68.75,33.15,37.4,4.47
Goderich,100,CA,1604262440,59,43.75,-81.72,37.4,26.4
Port Lincoln,65,AU,1604262431,66,-34.73,135.87,62.29,10.54
Teya,100,RU,1604262551,90,60.38,92.63,35.71,12.84
Port Alfred,60,ZA,1604262551,81,-33.59,26.89,66.11,21.09
Palamás,20,GR,1604262551,87,39.47,22.08,57.0,3.18
Butaritari,1,KI,1604262267,78,3.07,172.79,81.79,10.6
Atuona,10,PF,1604262408,78,-9.8,-139.03,77.99,15.39
Chute-aux-Outardes,75,CA,1604262551,69,49.12,-68.4,37.4,6.93
Mossamedes,88,AO,1604262551,70,-15.2,12.15,73.54,5.17
Dikson,96,RU,1604262331,98,73.51,80.55,19.63,9.06
Bluff,100,NZ,1604262551,87,-46.6,168.33,48.0,8.01
Faanui,33,PF,1604262425,80,-16.48,-151.75,79.9,23.73
Karratha,100,AU,1604262422,70,-20.74,116.85,73.56,12.15
Saint-Philippe,75,RE,1604262551,68,-21.36,55.77,68.0,5.82
Aden,0,YE,1604262551,62,12.78,45.04,82.11,15.93
Hobart,20,AU,1604262449,82,-42.88,147.33,57.2,5.82
Belmonte,20,BR,1604262551,83,-15.86,-38.88,82.4,1.12
Mataura,66,NZ,1604262551,87,-46.19,168.86,48.0,8.01
Kapaa,1,US,1604262551,69,22.08,-159.32,80.6,3.36
Puerto Ayora,40,EC,1604262552,69,-0.74,-90.35,78.8,13.87
Ambilobe,51,MG,1604262552,73,-13.2,49.05,71.26,5.88
Pevek,100,RU,1604262552,90,69.7,170.31,15.64,14.29
Carnarvon,40,AU,1604262552,64,-24.87,113.63,68.0,18.34
Ribeira Grande,75,PT,1604262412,88,38.52,-28.7,62.6,11.41
Cape Town,0,ZA,1604262410,64,-33.93,18.42,68.0,14.99
Ayan,100,RU,1604262552,98,56.45,138.17,26.82,21.03
Batagay-Alyta,40,RU,1604262552,86,67.8,130.41,-9.58,1.77
Qaqortoq,0,GL,1604262545,68,60.72,-46.03,26.6,3.36
Prince George,20,CA,1604262532,66,53.92,-122.75,46.0,18.34
Hilo,90,US,1604262552,74,19.73,-155.09,82.0,3.36
Vaini,75,TO,1604262552,83,-21.2,-175.2,77.0,9.17
Luganville,40,VU,1604262552,78,-15.53,167.17,82.4,3.36
Carupano,74,VE,1604262552,75,10.67,-63.26,83.89,7.96
Husavik,90,IS,1604262552,59,66.04,-17.34,37.4,2.24
Aras,0,ES,1604262436,87,42.56,-2.36,60.01,1.14
Salamiyah,48,SY,1604262552,87,35.01,37.05,61.95,5.39
Ust'-Ilimsk,94,RU,1604262552,87,58.0,102.66,16.88,7.85
Lompoc,1,US,1604262552,47,34.64,-120.46,82.0,12.75
Bredasdorp,21,ZA,1604262552,93,-34.53,20.04,62.6,6.93
Iranshahr,0,IR,1604262552,11,27.2,60.68,62.6,6.93
Vincennes,90,FR,1604262552,88,48.85,2.43,64.99,16.11
Mount Abu,0,IN,1604262552,33,24.6,72.7,59.9,3.71
Saint Anthony,1,US,1604262356,32,45.02,-93.22,37.99,12.75
Saskylakh,99,RU,1604262552,88,71.92,114.08,-9.26,10.67
Ushuaia,75,AR,1604262401,58,-54.8,-68.3,57.2,2.24
Avarua,50,CK,1604262552,88,-21.21,-159.78,77.0,18.34
Christchurch,100,NZ,1604262552,76,-43.53,172.63,57.0,2.24
Shipunovo,3,RU,1604262552,94,52.16,82.22,31.42,9.22
Morón,0,AR,1604262446,31,-34.65,-58.62,78.01,10.29
Padang,100,ID,1604262553,72,-0.95,100.35,78.24,2.71
Bambous Virieux,20,MU,1604262553,64,-20.34,57.76,69.8,6.93
Nehe,100,CN,1604262553,92,48.48,124.83,24.4,11.45
Luoyang,0,CN,1604262553,99,34.68,112.45,55.0,3.53
Cleethorpes,98,GB,1604262553,82,53.56,-0.03,64.4,25.28
Palmer,90,US,1604262338,81,42.16,-72.33,50.0,10.29
Shkotovo,0,RU,1604262553,86,43.33,132.36,26.6,4.47
Isangel,10,VU,1604262553,77,-19.55,169.27,77.4,14.88
Ponta do Sol,20,PT,1604262553,77,32.67,-17.1,69.8,3.36
Nemuro,100,JP,1604262553,81,43.32,145.57,57.0,21.85
Gardez,0,AF,1604262553,56,33.6,69.23,32.86,1.66
Guerrero Negro,22,MX,1604262553,36,27.98,-114.06,81.32,10.51
Barra de Tecoanapa,1,MX,1604262553,67,16.52,-98.75,85.33,9.22
Hong Kong,100,HK,1604262363,77,22.29,114.16,75.0,10.36
Khatanga,100,RU,1604262553,92,71.97,102.5,2.75,5.3
Provideniya,0,RU,1604262412,67,64.38,-173.3,17.6,4.47
San Patricio,20,US,1604262553,37,28.02,-97.52,84.0,12.75
Jamestown,90,US,1604262553,83,42.1,-79.24,41.0,21.81
Sisimiut,100,GL,1604262553,95,66.94,-53.67,28.4,8.68
Saint Paul Harbor,90,US,1604262553,58,57.79,-152.41,30.2,13.87
Bethel,90,US,1604262553,100,41.37,-73.41,50.0,11.41
Soma,0,TR,1604262553,81,39.19,27.61,51.8,6.22
Hamilton,40,US,1604262553,39,39.18,-84.53,48.2,23.04
Saýat,0,TM,1604262553,34,38.78,63.88,50.0,6.93
Stornoway,100,GB,1604262553,87,58.21,-6.39,48.2,26.4
Lebu,7,CL,1604262411,79,-37.62,-73.65,57.83,5.35
Ilulissat,100,GL,1604262554,62,69.22,-51.1,19.4,9.17
Tamandaré,93,BR,1604262554,78,-8.76,-35.1,78.89,11.3
Chui,0,UY,1604262417,54,-33.7,-53.46,62.82,9.28
Solnechnyy,100,RU,1604262554,96,50.72,136.63,31.17,4.18
Kismayo,95,SO,1604262554,79,-0.36,42.55,79.79,13.31
Jérémie,84,HT,1604262554,71,18.65,-74.12,83.59,5.88
East London,81,ZA,1604262411,83,-33.02,27.91,66.25,15.23
Kanigiri,23,IN,1604262554,74,15.4,79.52,75.58,3.44
Mahon,20,ES,1604262554,82,39.89,4.27,62.6,6.93
Tarata,20,BO,1604262554,27,-17.62,-66.02,78.8,13.87
Kaniv,100,UA,1604262554,91,49.75,31.46,45.0,10.36
Valdivia,0,CL,1604262554,53,-39.81,-73.25,71.6,9.17
Najrān,0,SA,1604262424,25,17.49,44.13,64.4,2.24
São Geraldo do Araguaia,81,BR,1604262554,43,-6.4,-48.55,92.71,0.98
New Norfolk,100,AU,1604262411,80,-42.78,147.06,55.0,1.92
Sangīn,0,AF,1604262554,47,32.07,64.84,45.82,1.43
Pitimbu,20,BR,1604262554,78,-7.47,-34.81,80.6,10.29
Bedēsa,30,ET,1604262554,70,8.9,40.78,61.95,3.62
Salalah,0,OM,1604262554,69,17.02,54.09,77.0,2.24
Umm Kaddadah,0,SD,1604262554,19,13.6,26.69,85.37,16.35
Hobyo,1,SO,1604262554,76,5.35,48.53,80.76,7.63
Mattru,12,SL,1604262554,94,7.62,-11.83,75.79,3.51
Cidreira,25,BR,1604262423,62,-30.18,-50.21,65.98,9.4
Torbay,75,CA,1604262554,60,47.67,-52.73,39.99,14.99
Fortuna,20,US,1604262554,63,40.6,-124.16,64.99,11.41
San Rafael,0,AR,1604262554,14,-34.62,-68.33,85.23,15.75
Bambanglipuro,85,ID,1604262555,86,-7.95,110.28,76.23,5.19
Louveira,40,BR,1604262555,52,-23.09,-46.95,70.0,16.11
Severnyy,75,RU,1604262555,93,50.68,36.55,46.4,6.71
Iqaluit,75,CA,1604262555,78,63.75,-68.51,10.4,5.82
Kavieng,14,PG,1604262555,72,-2.57,150.8,82.81,7.36
Hithadhoo,100,MV,1604262555,73,-0.6,73.08,83.23,11.05
Tiksi,0,RU,1604262270,90,71.69,128.87,-6.52,6.67
Hermanus,0,ZA,1604262555,83,-34.42,19.23,63.0,4.0
Bichena,38,ET,1604262555,61,10.45,38.2,53.01,2.28
Tuburan,100,PH,1604262555,79,6.64,122.27,80.87,5.93
Comodoro Rivadavia,0,AR,1604262423,42,-45.87,-67.5,80.6,3.36
Yulara,31,AU,1604262555,20,-25.24,130.99,75.2,6.93
Bonthe,2,SL,1604262555,83,7.53,-12.51,80.01,7.67
Ketchikan,90,US,1604262496,100,55.34,-131.65,53.6,28.86
Orós,3,BR,1604262555,29,-6.24,-38.91,95.65,2.62
Mirny,0,RU,1604262555,76,62.54,113.96,-7.6,6.71
Dingle,100,PH,1604262555,88,11.0,122.67,75.65,5.5
Santa Cruz Cabrália,90,BR,1604262419,83,-16.28,-39.02,69.8,5.82
Upernavik,96,GL,1604262555,93,72.79,-56.15,16.34,4.03
Handiā,25,IN,1604262555,60,25.38,82.18,71.6,3.36
Vardø,75,NO,1604262440,86,70.37,31.11,39.2,23.04
Castro,27,BR,1604262487,62,-24.79,-50.01,64.69,8.52
Vila Franca do Campo,75,PT,1604262555,94,37.72,-25.43,69.8,12.75
Ankazoabo,78,MG,1604262555,33,-22.28,44.52,78.31,6.98
Dorfen,75,DE,1604262555,87,48.27,12.15,57.2,12.75
Mahébourg,20,MU,1604262556,64,-20.41,57.7,69.8,6.93
Nikolskoye,90,RU,1604262410,95,59.7,30.79,32.0,8.95
Lethem,58,GY,1604262556,47,3.38,-59.8,92.12,4.54
Marsh Harbour,6,BS,1604262556,79,26.54,-77.06,81.18,11.18
Marsá Maţrūḩ,5,EG,1604262556,58,31.35,27.25,70.03,9.66
Severo-Kuril'sk,0,RU,1604262556,76,50.68,156.12,40.26,3.91
Airai,98,TL,1604262556,79,-8.93,125.41,60.37,2.17
Berlevåg,0,NO,1604262556,86,70.86,29.09,37.4,18.34
Aktobe,0,KZ,1604262556,69,50.28,57.21,35.6,4.47
Sweetwater,75,US,1604262556,78,25.76,-80.37,87.01,11.41
Jumla,0,NP,1604262556,58,29.27,82.18,45.95,5.5
George Town,20,MY,1604262556,88,5.41,100.34,78.8,3.36
Naze,75,JP,1604262450,94,28.37,129.48,73.4,4.7
Korla,0,CN,1604262556,60,41.76,86.15,35.01,8.01
Vernon,82,CA,1604262330,75,50.26,-119.27,48.0,1.12
Vao,100,NC,1604262444,84,-22.67,167.48,74.23,17.43
Longyearbyen,0,SJ,1604262556,93,78.22,15.64,32.0,27.51
Maniitsoq,100,GL,1604262556,96,65.42,-52.9,23.43,7.78
Saint George,1,US,1604262410,12,37.1,-113.58,69.8,3.06
Lata,98,PT,1604262556,91,40.16,-8.33,66.0,1.34
Estevan,1,CA,1604262556,42,49.13,-102.98,48.2,10.29
Leninskiy,100,RU,1604262556,93,54.28,37.46,44.69,9.55
Slobodskoy,0,RU,1604262556,96,58.73,50.18,28.45,3.69
Westlock,6,CA,1604262545,50,54.15,-113.87,55.4,14.99
Hasaki,20,JP,1604262556,100,35.73,140.83,53.6,3.36
Zhigansk,82,RU,1604262556,92,66.77,123.37,-3.39,16.64
Pisco,90,PE,1604262556,77,-13.7,-76.22,66.2,9.17
Barrow,75,US,1604262556,74,71.29,-156.79,28.4,20.8
Lagoa,100,PT,1604262410,78,39.05,-27.98,64.6,20.02
Tasiilaq,92,GL,1604262557,79,65.61,-37.64,28.4,5.82
Tando Muhammad Khan,0,PK,1604262557,20,25.12,68.54,75.78,4.99
Petropavlovsk-Kamchatskiy,12,RU,1604262557,80,53.05,158.65,30.2,6.71
Babushkin,0,RU,1604262557,86,51.71,105.86,19.62,3.98
Port-Cartier,99,CA,1604262421,64,50.03,-66.87,37.4,4.7
Kaliua,99,TZ,1604262557,37,-5.06,31.79,78.42,0.58
Thunder Bay,0,CA,1604262557,39,48.4,-89.32,30.2,19.46
Qaanaaq,0,GL,1604262416,74,77.48,-69.36,1.08,7.56
Homer,1,US,1604262557,49,59.64,-151.55,25.0,13.87
Lubango,100,AO,1604262323,89,-14.92,13.49,63.66,4.56
Centralia,1,US,1604262557,67,46.72,-122.95,57.2,1.25
Lethbridge,75,CA,1604262557,29,49.7,-112.82,62.6,21.92
Sandwick,40,GB,1604262557,76,60.0,-1.25,50.0,28.86
Wanaka,100,NZ,1604262557,67,-44.7,169.15,49.1,1.01
Talnakh,75,RU,1604262557,85,69.49,88.4,21.2,15.66
Trairi,1,BR,1604262557,73,-3.28,-39.27,82.09,13.96
Mitú,100,CO,1604262557,91,1.2,-70.17,76.12,1.16
Enid,1,US,1604262337,26,36.4,-97.88,60.8,6.93
Pacific Grove,1,US,1604262462,38,36.62,-121.92,75.2,5.82
Olafsvik,83,IS,1604262557,79,64.89,-23.71,37.09,14.52
Singaraja,86,ID,1604262557,72,-8.11,115.09,79.7,2.8
La Ligua,90,CL,1604262554,87,-32.45,-71.23,55.4,10.29
Chingirlau,9,KZ,1604262557,63,51.09,54.08,43.2,8.21
Yangi Marg`ilon,100,UZ,1604262557,39,40.43,71.72,46.4,6.93
Nome,1,US,1604262557,85,64.5,-165.41,12.2,4.88
Cherskiy,100,RU,1604262415,94,68.75,161.3,4.33,5.26
Tigil',100,RU,1604262557,93,57.8,158.67,31.84,6.67
Milledgeville,40,US,1604262558,64,33.08,-83.23,72.0,11.48
Bubaque,0,GW,1604262558,75,11.28,-15.83,83.82,15.21
Nanortalik,0,GL,1604262415,86,60.14,-45.24,30.07,29.04
Cabedelo,20,BR,1604262558,78,-6.98,-34.83,80.6,10.29
Hirara,51,JP,1604262558,71,24.8,125.28,76.28,14.23
Chokurdakh,100,RU,1604262558,94,70.63,147.92,0.61,10.78
Vitim,0,RU,1604262558,89,59.45,112.56,-1.32,3.65
Mayachnyy,0,RU,1604262558,79,52.68,55.69,37.54,6.87
Grand Gaube,40,MU,1604262558,69,-20.01,57.66,66.99,1.99
Iquique,0,CL,1604262558,68,-20.22,-70.14,66.2,20.8
Pueblo,1,US,1604262558,27,38.25,-104.61,66.99,5.06
Tuatapere,16,NZ,1604262558,87,-46.13,167.68,48.0,8.01
Shitanjing,0,CN,1604262558,69,39.23,106.34,34.84,9.01
Hofn,0,IS,1604262558,69,64.25,-15.21,39.33,12.91
Cayenne,75,GF,1604262434,83,4.93,-52.33,82.4,3.36
Siavonga,0,ZM,1604262558,44,-16.54,28.71,82.0,7.49
Rocha,0,UY,1604262558,58,-34.48,-54.33,63.19,7.87
Raja,100,SS,1604262558,74,8.46,25.68,75.2,3.98
Terney,61,RU,1604262558,73,45.05,136.61,41.38,9.69
Thompson,90,CA,1604262558,85,55.74,-97.86,23.0,11.41
Makkah al Mukarramah,0,SA,1604262362,58,21.43,39.83,80.6,4.52
Havre-St-Pierre,94,CA,1604262558,69,50.23,-63.6,37.4,4.7
Saldanha,0,ZA,1604262558,56,-33.01,17.94,68.0,5.82
Yellowknife,90,CA,1604262558,85,62.46,-114.35,17.6,8.05
Ghanzi,100,BW,1604262558,34,-21.57,21.78,80.08,8.79
Namatanai,100,PG,1604262559,80,-3.67,152.43,80.42,5.03
Skjervøy,0,NO,1604262559,74,70.03,20.97,41.0,19.46
Port Augusta,6,AU,1604262559,87,-32.5,137.77,63.0,8.05
Ferme-Neuve,100,CA,1604262559,100,46.7,-75.45,41.0,5.82
Luang Prabang,86,LA,1604262559,82,19.89,102.13,73.27,0.45
Choya,0,RU,1604262559,95,52.01,86.55,28.85,1.77
Mehamn,0,NO,1604262425,86,71.04,27.85,37.4,18.34
Eyl,0,SO,1604262434,68,7.98,49.82,79.99,18.3
Hermosillo,26,MX,1604262526,15,29.07,-110.97,95.0,3.0
Tsumeb,97,NA,1604262559,42,-19.23,17.72,77.5,5.14
College,75,US,1604262559,76,64.86,-147.8,1.0,0.22
Kruisfontein,28,ZA,1604262559,76,-34.0,24.73,64.0,3.0
Beaverlodge,75,CA,1604262559,58,55.22,-119.44,53.6,12.75
Narsaq,0,GL,1604262559,68,60.92,-46.05,26.6,3.36
Esperance,90,AU,1604262559,100,-33.87,121.9,62.6,11.41
Kiunga,100,PG,1604262559,98,-6.12,141.29,75.02,0.81
Araouane,94,ML,1604262559,13,18.9,-3.53,87.57,5.41
Tessalit,60,ML,1604262559,17,20.2,1.01,79.54,10.6
Victoria Point,0,AU,1604262559,74,-27.58,153.3,71.01,5.99
Nacala,90,MZ,1604262559,69,-14.54,40.67,76.44,2.21
Outlook,50,CA,1604262559,26,51.5,-107.05,55.4,13.87
Vila,100,PT,1604262560,94,42.03,-8.16,61.0,5.99
South Kazakhstan Region,21,KZ,1604262560,67,43.0,68.0,40.86,2.42
Sainte-Marie,40,RE,1604262428,68,-20.9,55.55,68.0,6.93
Erzin,24,TR,1604262560,72,36.96,36.2,71.01,2.19
Brae,40,GB,1604262560,76,60.4,-1.35,50.0,28.86
Rome,90,US,1604262560,76,43.21,-75.46,48.2,13.87
Baghdad,0,IQ,1604262560,35,33.34,44.4,71.6,11.41
Tongchuanshi,0,CN,1604262560,49,35.08,109.09,46.04,9.48
Proletarsk,87,RU,1604262560,77,46.7,41.72,57.74,3.44
Pemba,10,MZ,1604262560,70,-12.97,40.52,78.03,6.98
Nyuksenitsa,0,RU,1604262560,98,60.41,44.24,27.57,3.02
Derazhnya,100,UA,1604262560,82,49.27,27.43,45.19,8.63
Strezhevoy,90,RU,1604262560,92,60.73,77.59,30.2,6.71
Road Town,20,VG,1604262386,66,18.42,-64.62,84.2,12.75
Pochutla,0,MX,1604262418,61,15.74,-96.47,89.01,5.01
Kirakira,73,SB,1604262560,75,-10.45,161.92,81.86,5.61
Bruneck,62,IT,1604262560,75,46.8,11.94,48.0,1.12
Kumul,0,CN,1604262560,60,42.8,93.45,38.52,6.6
Arraias,69,BR,1604262560,57,-12.93,-46.94,81.93,6.76
Tra Vinh,100,VN,1604262560,93,9.93,106.35,76.68,3.69
Waingapu,95,ID,1604262560,76,-9.66,120.26,78.98,4.59
Departamento de Maldonado,20,UY,1604262560,82,-34.67,-54.92,66.0,9.17
Buraidah,0,SA,1604262560,37,26.33,43.98,69.8,6.93
Asău,0,RO,1604262560,97,46.43,26.4,36.0,5.01
George,0,ZA,1604262560,100,-33.96,22.46,59.0,2.24
Chegutu,39,ZW,1604262560,44,-18.13,30.14,72.46,7.05
Ngunguru,69,NZ,1604262561,88,-35.62,174.5,66.0,1.01
Inírida,100,CO,1604262561,97,3.87,-67.92,73.38,1.77
Itarema,0,BR,1604262561,74,-2.92,-39.92,82.24,17.38
Spas,0,UA,1604262561,82,48.89,24.06,38.52,4.54
Lüderitz,79,NA,1604262561,48,-26.65,15.16,66.81,12.17
Ukiah,1,US,1604262561,22,39.15,-123.21,82.0,4.79
Seymchan,100,RU,1604262561,93,62.88,152.43,9.55,0.67
Sos'va,0,RU,1604262561,97,59.18,61.86,25.29,2.75
Sibu,40,MY,1604262561,94,2.3,111.82,75.2,2.24
Lillooet,1,CA,1604262561,61,50.69,-121.94,48.2,2.24
West Bay,20,KY,1604262561,70,19.37,-81.42,87.8,17.22
Las Margaritas,100,PA,1604262561,85,9.33,-79.89,81.0,8.99
Khuzhir,0,RU,1604262561,85,53.19,107.34,20.41,6.42
Shache,0,CN,1604262561,85,38.42,77.24,34.16,2.26
Taber,99,CA,1604262561,29,49.82,-112.15,66.2,14.99
Chivay,55,PE,1604262561,33,-15.64,-71.6,59.94,14.09
Moose Factory,90,CA,1604262561,94,51.26,-80.61,32.0,18.34
Half Moon Bay,5,US,1604262561,55,37.46,-122.43,78.01,2.86
Malabugas,79,PH,1604262561,83,9.37,122.77,78.64,5.35
Show Low,1,US,1604262367,22,34.25,-110.03,71.01,8.05
Fort-Shevchenko,0,KZ,1604262561,39,44.51,50.26,60.35,4.63
Sabha,0,LY,1604262561,51,27.04,14.43,65.19,8.68
Kloulklubed,75,PW,1604262561,94,7.04,134.26,75.2,4.23
Port Macquarie,98,AU,1604262562,71,-31.43,152.92,66.0,1.99
Ocuituco,17,MX,1604262562,42,18.87,-98.77,75.13,5.99
Tuktoyaktuk,90,CA,1604262562,85,69.45,-133.04,10.4,10.29
Barkly West,0,ZA,1604262562,82,-28.54,24.52,57.2,6.93
Magadan,100,RU,1604262562,94,59.57,150.8,29.39,10.56
Arraial do Cabo,75,BR,1604262562,68,-22.97,-42.03,71.6,6.93
Tezu,50,IN,1604262431,73,27.92,96.17,70.68,2.21
Āsosa,85,ET,1604262562,94,10.07,34.53,62.65,2.26
Jiaojiang,90,CN,1604262562,72,28.68,121.44,66.99,1.99
High Level,75,CA,1604262562,84,58.52,-117.14,35.6,5.82
Kimbe,25,PG,1604262562,87,-5.55,150.14,76.77,2.86
Portland,1,US,1604262436,51,45.52,-122.68,64.0,3.87
Puerto Baquerizo Moreno,75,EC,1604262562,78,-0.9,-89.6,75.2,10.29
Campo do Brito,20,BR,1604262562,74,-10.73,-37.49,82.4,13.87
Neyshabur,2,IR,1604262562,39,36.21,58.8,54.61,1.57
Urengoy,91,RU,1604262562,97,65.97,78.37,24.44,14.7
Capitán Bado,49,PY,1604262562,51,-23.27,-55.53,77.79,4.81
Kahuta,0,PK,1604262562,41,33.59,73.39,61.0,5.91
Ulaangom,65,MN,1604262562,95,49.98,92.07,24.84,3.33
Atasū,93,KZ,1604262562,59,48.68,71.64,38.88,4.81
Fairbanks,40,US,1604262562,83,64.84,-147.72,1.0,3.36
Kupang,100,ID,1604262562,75,-10.17,123.58,79.99,7.76
São Filipe,38,CV,1604262412,77,14.9,-24.5,79.23,10.49
Cairns,40,AU,1604262480,77,-16.92,145.77,69.8,10.29
Ancud,0,CL,1604262562,63,-41.87,-73.82,68.0,10.29
Pinsk,0,BY,1604262562,93,52.12,26.1,40.5,3.27
Hualmay,70,PE,1604262562,66,-11.1,-77.61,68.34,9.86
Prince Rupert,90,CA,1604262563,87,54.32,-130.32,55.4,20.8
San Ramon,1,US,1604262449,19,37.78,-121.98,79.0,11.41
Mpika,25,ZM,1604262563,72,-11.83,31.45,65.46,9.35
Vila Velha,75,BR,1604262563,78,-20.33,-40.29,73.4,11.41
Katwa,63,IN,1604262563,82,23.64,88.13,77.16,3.2
Haines Junction,100,CA,1604262563,66,60.75,-137.51,12.2,3.36
Qasigiannguit,100,GL,1604262563,62,68.82,-51.19,19.4,9.17
Vostok,89,RU,1604262409,99,46.49,135.88,29.17,3.27
Oleksandrivka,100,UA,1604262563,90,48.96,32.23,46.69,8.99
Clyde River,90,CA,1604262426,92,70.47,-68.59,12.2,3.36
Timrå,100,SE,1604262563,93,62.49,17.33,48.2,21.92
Bukachacha,53,RU,1604262438,89,52.98,116.92,11.97,3.98
Isil'kul',36,RU,1604262563,96,54.91,71.27,32.23,10.09
Hsinchu,41,TW,1604262563,82,24.8,120.97,79.0,1.99
Kenai,1,US,1604262563,41,60.55,-151.26,25.0,21.92
Byron Bay,7,AU,1604262381,82,-28.65,153.62,64.4,6.93
Kabanjahe,100,ID,1604262563,93,3.1,98.49,62.17,2.93
Las Matas de Farfán,81,DO,1604262563,58,18.87,-71.52,82.44,6.71
Sitka,90,US,1604262563,87,57.05,-135.33,46.4,4.7
Caravelas,100,BR,1604262563,92,-17.71,-39.25,69.69,12.57
Huntsville,1,US,1604262563,34,34.73,-86.59,68.0,11.41
Sistranda,40,NO,1604262563,54,63.73,8.83,53.6,25.28
Oktyabr'skiy,67,RU,1604262563,92,54.48,53.47,33.62,4.43
Siyabuswa,46,ZA,1604262563,58,-25.11,29.04,68.11,15.37
Uppsala County,100,SE,1604262563,100,60.0,17.75,50.0,13.87
Lazarev,100,RU,1604262563,88,52.23,141.51,42.17,2.73
Vidim,9,RU,1604262564,86,56.41,103.11,15.53,5.95
Dawei,3,MM,1604262564,91,14.08,98.2,75.45,3.98
Svetlaya,0,RU,1604262564,75,46.54,138.33,41.92,6.29
Havøysund,40,NO,1604262564,75,71.0,24.66,41.0,18.34
General Pico,1,AR,1604262564,26,-35.66,-63.76,80.08,10.38
Malacacheta,100,BR,1604262564,94,-17.84,-42.08,66.42,4.03
Mawlaik,95,MM,1604262564,94,23.63,94.42,73.78,0.67
Geraldton,75,AU,1604262564,87,-28.77,114.6,57.2,9.17
Dehlorān,0,IR,1604262564,23,32.69,47.27,68.65,5.41
Avera,1,US,1604262564,60,33.19,-82.53,71.6,13.87
Aklavik,75,CA,1604262564,72,68.22,-135.01,17.6,6.93
San Ignacio,40,BZ,1604262564,70,17.16,-89.07,86.0,9.17
Porto Belo,40,BR,1604262564,56,-27.16,-48.55,70.0,13.87
São João da Barra,75,BR,1604262564,69,-21.64,-41.05,73.4,13.87
Kavaratti,0,IN,1604262564,71,10.57,72.64,81.88,4.29
Cap Malheureux,31,MU,1604262565,69,-19.98,57.61,66.99,1.99
Druzhba,99,UA,1604262565,96,52.04,33.95,46.67,5.91
Son La,89,VN,1604262565,92,21.32,103.9,66.63,1.57
Othaya,74,KE,1604262565,86,-0.57,36.96,57.99,4.0
Aksarka,0,RU,1604262565,95,66.56,67.8,25.43,12.37
Khanpur,0,PK,1604262565,23,28.65,70.66,65.55,4.9
Vestmannaeyjar,0,IS,1604262565,74,63.44,-20.27,37.4,16.11
Andenes,100,NO,1604262565,75,69.31,16.12,46.4,17.22
Jutaí,96,BR,1604262565,62,-5.18,-68.9,84.65,2.21
Bartica,40,GY,1604262565,94,6.4,-58.62,78.8,4.7
Sabzawār,65,IR,1604262565,44,36.21,57.68,52.52,1.81
Constitución,62,CL,1604262565,72,-35.33,-72.42,59.38,8.46
Kutina,90,HR,1604262565,100,45.48,16.78,50.0,1.52
Okhotsk,100,RU,1604262565,87,59.38,143.3,18.66,16.28
Odesskoye,77,RU,1604262565,85,54.21,72.97,35.91,11.05
Coquimbo,20,CL,1604262565,72,-29.95,-71.34,59.0,13.87
